timestamp,namada.indexer.Hadesguard.is_up_to_date,namada.indexer.Hadesguard.status,namada.indexer.Hadesguard.sync_state,namada.indexer.Hadesguard.version,namada.interface.Hadesguard.is_up_to_date,namada.interface.Hadesguard.status,namada.interface.Hadesguard.version,namada.masp.Hadesguard.is_up_to_date,namada.masp.Hadesguard.status,namada.masp.Hadesguard.sync_state,namada.masp.Hadesguard.version,namada.rpc.Hadesguard.is_up_to_date,namada.rpc.Hadesguard.status,namada.rpc.Hadesguard.sync_state,namada.rpc.Hadesguard.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-05T21:38:31.990018+00:00Z,,,sync_lag,,,,,,,sync_lag,,,,,
2025-05-05T22:15:13.374075+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-06T06:22:43.312687+00:00Z,,,sync_nok,,,,,,,sync_nok,,,,,
2025-05-06T07:15:47.742667+00:00Z,,,sync_ok,,,,,,,sync_ok,,,,,
2025-05-07T16:20:33.330883+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,,,,
2025-05-08T18:21:56.334887+00:00Z,,,sync_ok,2.5.4,,,,,,sync_ok,,True,,,0.37.15
2025-05-13T18:22:38.134720+00:00Z,,,sync_ok,2.5.4,False,down,n/a,,,sync_ok,,True,,,0.37.15
2025-05-15T11:36:44.887611+00:00Z,,,sync_ok,2.5.4,True,up,1.20.0-hotfix2,,,sync_ok,,True,,,0.37.15
2025-05-20T15:17:40.098979+00:00Z,False,,sync_ok,2.5.3,True,up,1.20.0-hotfix2,,,sync_ok,,True,,,0.37.15
2025-05-21T04:19:55.917174+00:00Z,False,,sync_ok,2.5.3,False,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-21T06:23:22.875194+00:00Z,True,,sync_ok,2.5.4,False,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-21T07:15:35.024549+00:00Z,True,,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-23T13:26:38.314451+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-23T14:15:19.205547+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-23T17:14:16.705519+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,,,sync_ok,,True,,,0.37.15
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix3,,,sync_lag,,True,,,0.37.15
2025-05-27T16:47:30.993932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,,,0.37.15
2025-05-27T17:38:30.832674+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,,,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,,,0.37.15
2025-05-27T22:14:59.059040+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,,,0.37.15
2025-05-28T04:20:51.113385+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,,,0.37.15
2025-05-29T09:17:20.628547+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-29T14:15:43.857913+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,False,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T22:14:28.475985+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T03:00:59.339338+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-14T10:15:40.578565+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T18:20:28.919599+00:00Z,True,up,sync_lag,3.1.0,True,up,1.26.0,True,up,sync_lag,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T19:12:28.701749+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T08:22:01.182699+00:00Z,True,up,sync_nok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T11:14:12.314056+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T13:28:56.520118+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T14:15:39.607539+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T19:36:17.607458+00:00Z,True,up,sync_lag,3.2.0,True,up,1.26.0,True,up,sync_lag,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T02:55:39.157956+00:00Z,False,down,sync_nok,n/a,False,up,1.27.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-21T04:19:44.863570+00:00Z,False,down,sync_nok,n/a,True,up,1.28.2,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-21T05:40:55.808298+00:00Z,False,down,sync_nok,n/a,True,up,1.28.2,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T06:21:25.957626+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-23T18:23:05.196740+00:00Z,False,up,sync_ok,3.3.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-25T14:16:24.465950+00:00Z,False,up,sync_ok,3.3.1,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T04:06:16.950679+00:00Z,False,up,sync_ok,3.3.1,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,False,up,sync_ok,3.3.1,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,False,up,sync_ok,3.3.1,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T15:18:29.275236+00:00Z,False,up,sync_lag,3.3.2,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-14T16:21:39.017662+00:00Z,False,up,sync_nok,3.3.2,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T04:56:43.507790+00:00Z,False,up,sync_nok,3.3.2,False,up,1.28.3,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-07-15T05:24:18.081760+00:00Z,False,up,sync_nok,3.3.2,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T04:10:36.130589+00:00Z,False,up,sync_ok,3.3.3,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T15:18:52.358967+00:00Z,False,up,sync_ok,3.3.3,False,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,False,up,sync_ok,3.3.3,True,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T18:24:21.221096+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-17T05:24:32.357331+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-28T03:42:45.440107+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T13:37:45.467426+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
