timestamp,namada.indexer.max-02.is_up_to_date,namada.indexer.max-02.status,namada.indexer.max-02.sync_state,namada.indexer.max-02.version,namada.interface.max-02.is_up_to_date,namada.interface.max-02.status,namada.interface.max-02.version,namada.masp.max-02.is_up_to_date,namada.masp.max-02.status,namada.masp.max-02.sync_state,namada.masp.max-02.version,namada.rpc.max-02.is_up_to_date,namada.rpc.max-02.status,namada.rpc.max-02.sync_state,namada.rpc.max-02.version
2025-05-05T14:43:48.331199+00:00Z,,,,,,,,,,,,,,,
2025-05-19T08:23:30.182997+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T09:17:30.192971+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T14:15:58.807137+00:00Z,False,down,sync_nok,n/a,False,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-20T15:17:40.098979+00:00Z,False,up,sync_ok,2.5.3,False,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T06:23:22.875194+00:00Z,True,up,sync_ok,2.5.4,False,up,1.20.2,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-21T07:15:35.024549+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T13:26:38.314451+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T14:15:19.205547+00:00Z,True,up,sync_nok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-23T17:14:16.705519+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T13:29:08.474609+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-05-27T14:15:39.910782+00:00Z,True,up,sync_ok,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_ok,1.2.1,True,up,sync_ok,0.37.15
2025-05-27T16:20:15.188932+00:00Z,True,up,sync_lag,2.5.4,True,up,1.20.0-hotfix3,True,up,sync_lag,1.2.1,True,up,sync_lag,0.37.15
2025-05-27T16:47:30.993932+00:00Z,False,down,sync_nok,n/a,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-05-27T17:14:25.051180+00:00Z,False,up,sync_nok,3.0.2,True,up,1.20.0-hotfix3,False,down,sync_nok,n/a,False,down,sync_nok,n/a
2025-05-27T17:38:30.832674+00:00Z,False,up,sync_ok,3.0.2,True,up,1.20.0-hotfix3,False,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T19:35:48.274091+00:00Z,True,up,sync_ok,3.0.2,False,up,1.20.0-hotfix3,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-27T20:40:32.859929+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_nok,1.3.0,True,up,sync_ok,0.37.15
2025-05-28T04:20:51.113385+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-04T12:33:50.083536+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-06-04T13:31:38.591567+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-04T14:13:35.928103+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-06-04T15:54:47.471469+00:00Z,True,up,sync_ok,3.0.2,True,up,1.21.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-04T20:14:20.597389+00:00Z,True,up,sync_ok,3.0.2,False,up,1.23.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-05T12:33:48.356143+00:00Z,True,up,sync_ok,3.0.2,False,up,1.23.0,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-06-05T13:29:25.888889+00:00Z,True,up,sync_ok,3.0.2,False,up,1.23.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-07T08:19:07.116732+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-09T11:37:39.212082+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-09T12:33:42.817450+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,False,down,sync_nok,n/a
2025-06-09T13:29:15.953125+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-11T14:15:32.545582+00:00Z,True,up,sync_ok,3.0.2,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-12T10:18:22.095255+00:00Z,False,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T09:17:37.320811+00:00Z,True,up,sync_ok,3.1.0,True,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T16:20:13.171167+00:00Z,True,up,sync_ok,3.1.0,False,up,1.24.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-13T17:13:57.257484+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T10:16:40.079168+00:00Z,True,up,sync_nok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-15T16:18:15.847096+00:00Z,True,up,sync_ok,3.1.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-16T16:20:34.388783+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-17T21:39:50.233421+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-17T22:15:03.331276+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T06:24:05.220417+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T07:16:29.572180+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T07:40:29.680763+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T08:22:09.339471+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T09:18:05.504291+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T11:14:28.928522+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T11:38:03.083161+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T14:16:16.052268+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T14:44:40.194178+00:00Z,False,down,sync_nok,n/a,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T15:17:53.363562+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T15:43:07.729773+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-18T17:16:13.366890+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-18T17:44:12.954572+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T09:17:41.241362+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T09:42:01.661851+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T10:17:31.620376+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T10:44:46.031535+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T12:33:32.425403+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,False,down,sync_nok,n/a,True,up,sync_ok,0.37.15
2025-06-19T13:28:56.520118+00:00Z,True,up,sync_ok,3.2.0,True,up,1.26.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T20:18:53.189679+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-19T22:15:08.278904+00:00Z,True,up,sync_ok,3.2.0,True,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-20T20:17:42.681478+00:00Z,True,up,sync_ok,3.2.0,False,up,1.27.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-21T02:55:39.157956+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.2,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T08:23:21.749770+00:00Z,True,up,sync_ok,3.2.0,False,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-06-30T21:15:13.463843+00:00Z,True,up,sync_ok,3.2.0,True,up,1.28.3,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T17:14:52.061966+00:00Z,True,up,sync_ok,3.2.0,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-07T22:15:57.191039+00:00Z,True,up,sync_ok,3.2.0,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T20:18:56.416204+00:00Z,False,up,sync_ok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-15T21:16:15.922585+00:00Z,False,up,sync_nok,3.3.2,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T16:21:28.112049+00:00Z,False,up,sync_ok,3.3.4,True,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T17:17:44.510529+00:00Z,True,up,sync_ok,3.3.4,False,up,1.29.0,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T18:24:21.221096+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-16T22:16:28.720630+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-25T04:58:19.836174+00:00Z,True,up,sync_ok,3.3.4,False,up,1.31.1,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-07-30T14:17:40.396494+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-08-01T16:22:16.597341+00:00Z,,,,,False,down,n/a,,,,,,,,
2025-08-02T11:14:15.464246+00:00Z,True,up,sync_ok,3.3.4,True,up,1.31.4,True,up,sync_ok,1.3.0,True,up,sync_ok,0.37.15
2025-08-12T14:16:38.113380+00:00Z,,,,,False,down,n/a,,,,,,,,
